id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
8280021,2017-10-26T21:07:55Z,2017-10-26T22:44:26Z,Release v1.12.19,"Release v1.12.19 (2017-10-26)
===

### Service Client Updates
* `aws/endpoints`: Updated Regions and Endpoints metadata.

",https://api.github.com/users/awstools,8496417,awstools,https://api.github.com/repos/aws/aws-sdk-go/releases/8280021/assets,https://api.github.com/repos/aws/aws-sdk-go/releases/8280021,release,https://api.github.com/repos/aws/aws-sdk-go/tarball/v1.12.19,https://github.com/aws/aws-sdk-go/releases/tag/v1.12.19,https://api.github.com/repos/aws/aws-sdk-go/zipball/v1.12.19,v1.12.19,False,False
8276293,2017-10-26T17:43:14Z,2017-10-26T18:00:31Z,Release v1.12.18,"Release v1.12.18 (2017-10-26)
===

### Service Client Updates
* `service/cloudfront`: Updates service API and documentation
  * You can now specify additional options for MinimumProtocolVersion, which controls the SSL/TLS protocol that CloudFront uses to communicate with viewers. The minimum protocol version that you choose also determines the ciphers that CloudFront uses to encrypt the content that it returns to viewers.
* `service/ec2`: Updates service API
  * You are now able to create and launch EC2 P3 instance, next generation GPU instances, optimized for machine learning and high performance computing applications. With up to eight NVIDIA Tesla V100 GPUs, P3 instances provide up to one petaflop of mixed-precision, 125 teraflops of single-precision, and 62 teraflops of double-precision floating point performance, as well as a 300 GB/s second-generation NVLink interconnect that enables high-speed, low-latency GPU-to-GPU communication. P3 instances also feature up to 64 vCPUs based on custom Intel Xeon E5 (Broadwell) processors, 488 GB of DRAM, and 25 Gbps of dedicated aggregate network bandwidth using the Elastic Network Adapter (ENA).
* `aws/endpoints`: Updated Regions and Endpoints metadata.

",https://api.github.com/users/awstools,8496417,awstools,https://api.github.com/repos/aws/aws-sdk-go/releases/8276293/assets,https://api.github.com/repos/aws/aws-sdk-go/releases/8276293,release,https://api.github.com/repos/aws/aws-sdk-go/tarball/v1.12.18,https://github.com/aws/aws-sdk-go/releases/tag/v1.12.18,https://api.github.com/repos/aws/aws-sdk-go/zipball/v1.12.18,v1.12.18,False,False
8242736,2017-10-24T17:53:36Z,2017-10-24T18:40:56Z,Release v1.12.17,"Release v1.12.17 (2017-10-24)
===

### Service Client Updates
* `service/config`: Updates service API
* `service/elasticache`: Updates service API, documentation, and examples
  * Amazon ElastiCache for Redis today announced support for data encryption both for data in-transit and data at-rest. The new encryption in-transit functionality enables ElastiCache for Redis customers to encrypt data for all communication between clients and Redis engine, and all intra-cluster Redis communication. The encryption at-rest functionality allows customers to encrypt their S3 based backups. Customers can begin using the new functionality by simply enabling this functionality via AWS console, and a small configuration change in their Redis clients. The ElastiCache for Redis service automatically manages life cycle of the certificates required for encryption, including the issuance, renewal and expiration of certificates. Additionally, as part of this launch, customers will gain the ability to start using the Redis AUTH command that provides an added level of authentication.
* `service/glue`: Adds new service
  * AWS Glue: Adding a new API, BatchStopJobRun, to stop one or more job runs for a specified Job.
* `service/pinpoint`: Updates service API and documentation
  * Added support for APNs VoIP messages. Added support for collapsible IDs, message priority, and TTL for APNs and FCM/GCM.

",https://api.github.com/users/awstools,8496417,awstools,https://api.github.com/repos/aws/aws-sdk-go/releases/8242736/assets,https://api.github.com/repos/aws/aws-sdk-go/releases/8242736,release,https://api.github.com/repos/aws/aws-sdk-go/tarball/v1.12.17,https://github.com/aws/aws-sdk-go/releases/tag/v1.12.17,https://api.github.com/repos/aws/aws-sdk-go/zipball/v1.12.17,v1.12.17,False,False
8229992,2017-10-23T23:21:30Z,2017-10-24T00:52:57Z,Release v1.12.16,"Release v1.12.16 (2017-10-23)
===

### Service Client Updates
* `aws/endpoints`: Updated Regions and Endpoints metadata.
* `service/organizations`: Updates service API and documentation
  * This release supports integrating other AWS services with AWS Organizations through the use of an IAM service-linked role called AWSServiceRoleForOrganizations. Certain operations automatically create that role if it does not already exist.

",https://api.github.com/users/awstools,8496417,awstools,https://api.github.com/repos/aws/aws-sdk-go/releases/8229992/assets,https://api.github.com/repos/aws/aws-sdk-go/releases/8229992,release,https://api.github.com/repos/aws/aws-sdk-go/tarball/v1.12.16,https://github.com/aws/aws-sdk-go/releases/tag/v1.12.16,https://api.github.com/repos/aws/aws-sdk-go/zipball/v1.12.16,v1.12.16,False,False
8200610,2017-10-20T16:51:54Z,2017-10-20T17:46:15Z,Release v1.12.15,"Release v1.12.15 (2017-10-20)
===

### Service Client Updates
* `service/ec2`: Updates service API and documentation
  * Adding pagination support for DescribeSecurityGroups for EC2 Classic and VPC Security Groups

",https://api.github.com/users/awstools,8496417,awstools,https://api.github.com/repos/aws/aws-sdk-go/releases/8200610/assets,https://api.github.com/repos/aws/aws-sdk-go/releases/8200610,release,https://api.github.com/repos/aws/aws-sdk-go/tarball/v1.12.15,https://github.com/aws/aws-sdk-go/releases/tag/v1.12.15,https://api.github.com/repos/aws/aws-sdk-go/zipball/v1.12.15,v1.12.15,False,False
8189975,2017-10-19T22:20:31Z,2017-10-19T23:16:51Z,Release v1.12.14,"Release v1.12.14 (2017-10-19)
===

### Service Client Updates
* `service/sqs`: Updates service API and documentation
  * Added support for tracking cost allocation by adding, updating, removing, and listing the metadata tags of Amazon SQS queues.
* `service/ssm`: Updates service API and documentation
  * EC2 Systems Manager versioning support for Parameter Store. Also support for referencing parameter versions in SSM Documents.

",https://api.github.com/users/awstools,8496417,awstools,https://api.github.com/repos/aws/aws-sdk-go/releases/8189975/assets,https://api.github.com/repos/aws/aws-sdk-go/releases/8189975,release,https://api.github.com/repos/aws/aws-sdk-go/tarball/v1.12.14,https://github.com/aws/aws-sdk-go/releases/tag/v1.12.14,https://api.github.com/repos/aws/aws-sdk-go/zipball/v1.12.14,v1.12.14,False,False
8174129,2017-10-18T22:10:34Z,2017-10-18T23:15:56Z,Release v1.12.13,"Release v1.12.13 (2017-10-18)
===

### Service Client Updates
* `service/lightsail`: Updates service API and documentation
  * This release adds support for Windows Server-based Lightsail instances. The GetInstanceAccessDetails API now returns the password of your Windows Server-based instance when using the default key pair. GetInstanceAccessDetails also returns a PasswordData object for Windows Server instances containing the ciphertext and keyPairName. The Blueprint data type now includes a list of platform values (LINUX_UNIX or WINDOWS). The Bundle data type now includes a list of SupportedPlatforms values (LINUX_UNIX or WINDOWS).

",https://api.github.com/users/awstools,8496417,awstools,https://api.github.com/repos/aws/aws-sdk-go/releases/8174129/assets,https://api.github.com/repos/aws/aws-sdk-go/releases/8174129,release,https://api.github.com/repos/aws/aws-sdk-go/tarball/v1.12.13,https://github.com/aws/aws-sdk-go/releases/tag/v1.12.13,https://api.github.com/repos/aws/aws-sdk-go/zipball/v1.12.13,v1.12.13,False,False
8156545,2017-10-17T19:54:32Z,2017-10-17T21:13:08Z,Release v1.12.12,"Release v1.12.12 (2017-10-17)
===

### Service Client Updates
* `aws/endpoints`: Updated Regions and Endpoints metadata.
* `service/es`: Updates service API and documentation
  * This release adds support for VPC access to Amazon Elasticsearch Service.
  * This release adds support for VPC access to Amazon Elasticsearch Service.

",https://api.github.com/users/awstools,8496417,awstools,https://api.github.com/repos/aws/aws-sdk-go/releases/8156545/assets,https://api.github.com/repos/aws/aws-sdk-go/releases/8156545,release,https://api.github.com/repos/aws/aws-sdk-go/tarball/v1.12.12,https://github.com/aws/aws-sdk-go/releases/tag/v1.12.12,https://api.github.com/repos/aws/aws-sdk-go/zipball/v1.12.12,v1.12.12,False,False
8139993,2017-10-16T19:00:36Z,2017-10-16T20:49:09Z,Release v1.12.11,"Release v1.12.11 (2017-10-16)
===

### Service Client Updates
* `service/cloudhsm`: Updates service API and documentation
  * Documentation updates for AWS CloudHSM Classic.
* `service/ec2`: Updates service API and documentation
  * You can now change the tenancy of your VPC from dedicated to default with a single API operation. For more details refer to the documentation for changing VPC tenancy.
* `service/es`: Updates service API and documentation
  * AWS Elasticsearch adds support for enabling slow log publishing. Using slow log publishing options customers can configure and enable index/query slow log publishing of their domain to preferred AWS Cloudwatch log group.
* `service/rds`: Updates service API and waiters
  * Adds waiters for DBSnapshotAvailable and DBSnapshotDeleted.
* `service/waf`: Updates service API and documentation
  * This release adds support for regular expressions as match conditions in rules, and support for geographical location by country of request IP address as a match condition in rules.
* `service/waf-regional`: Updates service API and documentation

",https://api.github.com/users/awstools,8496417,awstools,https://api.github.com/repos/aws/aws-sdk-go/releases/8139993/assets,https://api.github.com/repos/aws/aws-sdk-go/releases/8139993,release,https://api.github.com/repos/aws/aws-sdk-go/tarball/v1.12.11,https://github.com/aws/aws-sdk-go/releases/tag/v1.12.11,https://api.github.com/repos/aws/aws-sdk-go/zipball/v1.12.11,v1.12.11,False,False
8100662,2017-10-12T18:58:02Z,2017-10-12T19:25:21Z,Release v1.12.10,"Release v1.12.10 (2017-10-12)
===

### Service Client Updates
* `service/codecommit`: Updates service API and documentation
  * This release includes the DeleteBranch API and a change to the contents of a Commit object.
* `service/dms`: Updates service API and documentation
  * This change includes addition of new optional parameter to an existing API
* `service/elasticbeanstalk`: Updates service API and documentation
  * Added the ability to add, delete or update Tags
* `service/polly`: Updates service API
  * Amazon Polly exposes two new voices: ""Matthew"" (US English) and ""Takumi"" (Japanese)
* `service/rds`: Updates service API and documentation
  * You can now call DescribeValidDBInstanceModifications to learn what modifications you can make to your DB instance. You can use this information when you call ModifyDBInstance.

",https://api.github.com/users/awstools,8496417,awstools,https://api.github.com/repos/aws/aws-sdk-go/releases/8100662/assets,https://api.github.com/repos/aws/aws-sdk-go/releases/8100662,release,https://api.github.com/repos/aws/aws-sdk-go/tarball/v1.12.10,https://github.com/aws/aws-sdk-go/releases/tag/v1.12.10,https://api.github.com/repos/aws/aws-sdk-go/zipball/v1.12.10,v1.12.10,False,False
