id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
5846737,2017-03-03T14:05:27Z,2017-03-23T15:16:28Z,v1.8.8-stable,"Bug #5196 - Some keys on Korean and Japanese keyboards have the same keycode
Bug #5578 - Pressing Hangul key results in alt+'a'
Bug #5785 - Can't switch screens when cursor is in a corner
Bug #3992 - macOS: Dragging is broken in Unity 3D
Bug #5075 - macOS: Build fails on macOS 10.9 due to unknown compiler flag
Bug #5809 - macOS: No version number is shown in the App Info dialog
Bug #3197 - Linux: switchDoubleTap option is not working
Bug #4477 - Linux: Mouse buttons higher than id 10 result in crash
Bug #5832 - Linux: Screen size misdetected on multi-monitor display
Enhancement #4504 - Improved Korean language description
Enhancement #5525 - Added support for precise screen positioning in config file
Enhancement #4290 - Windows: Removed annoying alt+print screen functionality",https://api.github.com/users/XinyuHou,9194706,XinyuHou,https://api.github.com/repos/symless/synergy-core/releases/5846737/assets,https://api.github.com/repos/symless/synergy-core/releases/5846737,master,https://api.github.com/repos/symless/synergy-core/tarball/v1.8.8-stable,https://github.com/symless/synergy-core/releases/tag/v1.8.8-stable,https://api.github.com/repos/symless/synergy-core/zipball/v1.8.8-stable,v1.8.8-stable,False,False
5206181,2017-01-19T13:18:10Z,2017-01-19T13:47:51Z,v1.8.7-stable,"Bug #5784 - Edition changes when reopening GUI
",https://api.github.com/users/nlyan,2406188,nlyan,https://api.github.com/repos/symless/synergy-core/releases/5206181/assets,https://api.github.com/repos/symless/synergy-core/releases/5206181,v1.8.7,https://api.github.com/repos/symless/synergy-core/tarball/v1.8.7-stable,https://github.com/symless/synergy-core/releases/tag/v1.8.7-stable,https://api.github.com/repos/symless/synergy-core/zipball/v1.8.7-stable,v1.8.7-stable,False,False
4897728,2016-12-12T16:55:31Z,2016-12-12T18:29:30Z,v1.8.6-stable,"Bug #5592 - Some keys don't work for macOS Sierra clients
Bug #5186 - Cursor stuck on client when using multi-DPI server
Bug #5722 - Malformed serial key in registry will crash GUI on startup
Bug #5752 - Tab order is incorrect on Settings dialog
Enhancement #5699 - Unified installers on macOS
Feature #4836 - macOS Sierra build
",https://api.github.com/users/XinyuHou,9194706,XinyuHou,https://api.github.com/repos/symless/synergy-core/releases/4897728/assets,https://api.github.com/repos/symless/synergy-core/releases/4897728,v1.8.6,https://api.github.com/repos/symless/synergy-core/tarball/v1.8.6-stable,https://github.com/symless/synergy-core/releases/tag/v1.8.6-stable,https://api.github.com/repos/symless/synergy-core/zipball/v1.8.6-stable,v1.8.6-stable,False,False
4526989,2016-10-31T12:45:42Z,2016-10-31T14:28:16Z,v1.8.5-stable,"Bug #5680 - Server crashes when disconnecting SSL clients
Bug #5626 - Build fails using Xcode 8 and macOS SDK 10.12
Feature #5657 - Trial version support
Feature #5707 - User upgrade statistics
",https://api.github.com/users/XinyuHou,9194706,XinyuHou,https://api.github.com/repos/symless/synergy-core/releases/4526989/assets,https://api.github.com/repos/symless/synergy-core/releases/4526989,v1.8.5,https://api.github.com/repos/symless/synergy-core/tarball/v1.8.5-stable,https://github.com/symless/synergy-core/releases/tag/v1.8.5-stable,https://api.github.com/repos/symless/synergy-core/zipball/v1.8.5-stable,v1.8.5-stable,False,False
4356493,2016-10-11T09:16:53Z,2016-10-11T10:25:59Z,v1.8.4-stable,"Bug #4041 UHD/4K DPI scaling broken on Windows servers
Bug #4420 When XRandR adds a screen, it is inaccessible
Bug #5603 Activation notification depends on existence of /etc/os-release
Bug #5624 Update notification sometimes requests a downgrade
Bug #5329 Current date is shown for build date in the about dialog
Bug #5640 Synergy branding is inconsistent across platforms
Enhancement #5617 Remove redundant plugin infrastructure
Enhancement #5627 Move SSL certificate generation to main window
Enhancement #5628 Move SSL implementation into core binary
Enhancement #5629 Move activation from wizard into new dialog window
",https://api.github.com/users/nlyan,2406188,nlyan,https://api.github.com/repos/symless/synergy-core/releases/4356493/assets,https://api.github.com/repos/symless/synergy-core/releases/4356493,master,https://api.github.com/repos/symless/synergy-core/tarball/v1.8.4-stable,https://github.com/symless/synergy-core/releases/tag/v1.8.4-stable,https://api.github.com/repos/symless/synergy-core/zipball/v1.8.4-stable,v1.8.4-stable,False,False
4215950,2016-09-26T10:59:39Z,2016-09-26T12:17:09Z,v1.8.3-stable,"Bug #2765 - A letter appears on macOS clients when the spacebar is pressed
Bug #3241 - Windows UAC disconnects clients when elevated
Bug #4740 - Linux client crashes with ""Assertion '!m_open' failed""
Bug #4879 - Memory leak caused by IpcReader
Bug #5373 - Tab behaves like shift tab on client
Bug #5502 - Copy and paste from server to client doesn't work
Enhancement #123 - Option to disable clipboard sharing
Enhancement #3305 - Media key support on macOS
Enhancement #4323 - Make automatic elevation on Windows optional
",https://api.github.com/users/XinyuHou,9194706,XinyuHou,https://api.github.com/repos/symless/synergy-core/releases/4215950/assets,https://api.github.com/repos/symless/synergy-core/releases/4215950,v1.8.3,https://api.github.com/repos/symless/synergy-core/tarball/v1.8.3-stable,https://github.com/symless/synergy-core/releases/tag/v1.8.3-stable,https://api.github.com/repos/symless/synergy-core/zipball/v1.8.3-stable,v1.8.3-stable,False,False
3836375,2016-08-08T12:40:51Z,2016-08-08T13:24:10Z,v1.8.2-stable,"Bug #3044 - Unable to drag-select in MS Office
Bug #4768 - Copy paste causes 'server is dead' error on switching
Bug #4792 - Server logging crashes when switching with clipboard data
Bug #2975 - Middle click does not close Chrome tab on Mac client
Bug #5087 - Linux client fails to start due to invalid cursor size
Bug #5471 - Serial key textbox on activation screen overflows on Mac
Bug #4836 - Stop button resets to Start when settings dialog canceled
Enhancement #5277 - Auto restart service when synwinhk.dll fails on Windows
Enhancement #4913 - Future-proof GUI login by using newer auth URL
Enhancement #4922 - Add --enable-crypto argument to help text
Enhancement #5299 - High resolution App icon on Mac
Enhancement #4894 - Improve grammar in connection notification dialog
",https://api.github.com/users/XinyuHou,9194706,XinyuHou,https://api.github.com/repos/symless/synergy-core/releases/3836375/assets,https://api.github.com/repos/symless/synergy-core/releases/3836375,v1.8.2,https://api.github.com/repos/symless/synergy-core/tarball/v1.8.2-stable,https://github.com/symless/synergy-core/releases/tag/v1.8.2-stable,https://api.github.com/repos/symless/synergy-core/zipball/v1.8.2-stable,v1.8.2-stable,False,False
3658315,2016-07-14T15:01:21Z,2016-07-14T15:03:30Z,,"Bug #5461 - GUI crash during activation on Mac
",https://api.github.com/users/XinyuHou,9194706,XinyuHou,https://api.github.com/repos/symless/synergy-core/releases/3658315/assets,https://api.github.com/repos/symless/synergy-core/releases/3658315,v1.8.1,https://api.github.com/repos/symless/synergy-core/tarball/v1.8.1-stable,https://github.com/symless/synergy-core/releases/tag/v1.8.1-stable,https://api.github.com/repos/symless/synergy-core/zipball/v1.8.1-stable,v1.8.1-stable,False,False
2817727,2016-03-15T19:03:49Z,2016-03-15T19:06:12Z,v1.7.6-stable,"Bug #451 - Fast cursor on any client with Mac server
Bug #5041 - Copying from the Chrome web browser doesn't work
Bug #4735 - Clipboard doesn't work from client to server
Bug #2909 - Clipboard copies only plaintext between Mac and Windows
Bug #4353 - Large clipboard causes crash
Bug #3774 - Missing MinGW dependencies after install on Windows
Bug #4723 - Waiting for active desktop result freezes Windows service
",https://api.github.com/users/XinyuHou,9194706,XinyuHou,https://api.github.com/repos/symless/synergy-core/releases/2817727/assets,https://api.github.com/repos/symless/synergy-core/releases/2817727,v1.7.6,https://api.github.com/repos/symless/synergy-core/tarball/v1.7.6-stable,https://github.com/symless/synergy-core/releases/tag/v1.7.6-stable,https://api.github.com/repos/symless/synergy-core/zipball/v1.7.6-stable,v1.7.6-stable,False,False
2210379,2015-12-01T00:45:53Z,2015-12-01T01:50:13Z,v1.8.0-beta,"Enhancement #4696 - Include 'ns' plugin in installers (instead of wizard download)
Enhancement #4715 - Activation dialog which also accepts a serial key
Enhancement #5020 - Recommend using serial key when online activation fails
Enhancement #4893 - Show detailed version info on GUI about screen
Enhancement #4327 - GUI setting to disable drag and drop feature
Enhancement #4793 - Additional logging to output OpenSSL version
Enhancement #4932 - Notify activation system when wizard finishes
Enhancement #4716 - Allow software to be time limited with serial key
",https://api.github.com/users/XinyuHou,9194706,XinyuHou,https://api.github.com/repos/symless/synergy-core/releases/2210379/assets,https://api.github.com/repos/symless/synergy-core/releases/2210379,v1.8.0,https://api.github.com/repos/symless/synergy-core/tarball/v1.8.0-beta,https://github.com/symless/synergy-core/releases/tag/v1.8.0-beta,https://api.github.com/repos/symless/synergy-core/zipball/v1.8.0-beta,v1.8.0-beta,False,False
2156278,2015-11-19T19:51:14Z,2015-11-19T21:34:01Z,v1.7.5-stable,"Bug #5030 - Display scaling breaks edge detection on Windows
Bug #5064 - Compile fails on Mac OS X 10.11 (unused typedef)
",https://api.github.com/users/XinyuHou,9194706,XinyuHou,https://api.github.com/repos/symless/synergy-core/releases/2156278/assets,https://api.github.com/repos/symless/synergy-core/releases/2156278,v1.7.5,https://api.github.com/repos/symless/synergy-core/tarball/v1.7.5-stable,https://github.com/symless/synergy-core/releases/tag/v1.7.5-stable,https://api.github.com/repos/symless/synergy-core/zipball/v1.7.5-stable,v1.7.5-stable,False,False
1633093,2015-08-07T22:56:23Z,2015-08-10T17:12:41Z,v1.7.4-stable,"Bug #4721 - High CPU usage for Windows service
Bug #4750 - SSL connect error 'passive ssl error limit'
Bug #4584 - Drag and drop with SSL causes crash
Bug #4749 - Clipboard thread race condition causes assertion failure
Bug #4720 - Plugin download shows 'Could not get Linux package type' error
Bug #4712 - Unable to send clipboard with size above 1KB when using SSL
Bug #4642 - Connecting causes SSL23_GET_SERVER_HELLO error
Bug #4690 - Log line 'activeDesktop' does not use logging system
Bug #4866 - Wrong ns plugin version can be loaded
Enhancement #4901 - Auto restart when running from GUI in desktop mode
Enhancement #4845 - Add timestamp to log output
",https://api.github.com/users/nbolton,313427,nbolton,https://api.github.com/repos/symless/synergy-core/releases/1633093/assets,https://api.github.com/repos/symless/synergy-core/releases/1633093,v1.7.4,https://api.github.com/repos/symless/synergy-core/tarball/v1.7.4-stable,https://github.com/symless/synergy-core/releases/tag/v1.7.4-stable,https://api.github.com/repos/symless/synergy-core/zipball/v1.7.4-stable,v1.7.4-stable,False,False
1338619,2015-05-26T15:56:21Z,2015-05-26T16:46:40Z,v1.7.3-stable,"Bug #4565 - Incorrect plugin downloads on Debian and Mint
Bug #4677 - Windows service log file grows to very large size
Bug #4651 - High logging rate causes Windows service to crash
Bug #4650 - SSL error log message repeats excessively and freezes cursor
Bug #4624 - Runaway logging causes GUI to freeze
Bug #4617 - Windows service randomly stops after 'ssl handshake failure' error
Bug #4601 - Large clipboard data with SSL causes 'protocol is shutdown' error
Bug #4593 - Locking Windows server causes SSL_ERROR_SSL to repeat
Bug #4577 - Memory leak in GUI on Windows caused by logging
Bug #4538 - Windows service crashes intermittently with no error
Bug #4341 - GUI freezes on first load when reading log
Bug #4566 - Client or server crashes with 'ssl handshake failure' error
Bug #4706 - Installer is not output to build config dir on Windows
Bug #4704 - Plugin 'ns' release build is overwritten with debug version on Linux
Bug #4703 - Plugins are not built to config directory on Mac
Bug #4697 - Timing can allow an SSL socket to be used after cleanup call
Enhancement #4661 - Log error but do not crash when failing to load plugins
Enhancement #4708 - Download ns plugin for specific Mac versions
Enhancement #4587 - Include OpenSSL binaries in source for easier building
Enhancement #4695 - Automatically upload plugins as Buildbot step
",https://api.github.com/users/nbolton,313427,nbolton,https://api.github.com/repos/symless/synergy-core/releases/1338619/assets,https://api.github.com/repos/symless/synergy-core/releases/1338619,v1.7.3-stable,https://api.github.com/repos/symless/synergy-core/tarball/v1.7.3-stable,https://github.com/symless/synergy-core/releases/tag/v1.7.3-stable,https://api.github.com/repos/symless/synergy-core/zipball/v1.7.3-stable,v1.7.3-stable,False,False
1270095,2015-05-07T12:22:56Z,2015-05-07T12:42:35Z,v1.7.2-stable,"Bug #4564 - Modifier keys often stuck down on Mac client
Bug #4581 - Starting GUI on Mac crashes instantly on syntool segfault
Bug #4520 - Laggy or sluggish cursor (ping spikes) on Mac when using WiFi
Bug #4607 - GUI doesn't start after install on Windows
Enhancement #4412 - Automate extract and compile for OpenSSL
Enhancement #4567 - SSL plugin should use TLSv1_method() minimum
Enhancement #4591 - Revert to legacy Mac deployment and signing
Enhancement #4569 - Reintroduce GUI auto-hide setting (disabled by default)
Enhancement #4570 - Make `--crypto-pass` show deprecated message
Enhancement #4596 - Typo 'occurred' in WebClient.cpp
",https://api.github.com/users/XinyuHou,9194706,XinyuHou,https://api.github.com/repos/symless/synergy-core/releases/1270095/assets,https://api.github.com/repos/symless/synergy-core/releases/1270095,master,https://api.github.com/repos/symless/synergy-core/tarball/v1.7.2-stable,https://github.com/symless/synergy-core/releases/tag/v1.7.2-stable,https://api.github.com/repos/symless/synergy-core/zipball/v1.7.2-stable,v1.7.2-stable,False,False
1196542,2015-04-21T17:46:32Z,2015-04-21T17:48:03Z,v1.7.1-stable,"Bug #3784 - Double click & drag doesn't select words on client
Bug #3052 - Triple-click (select line) does not work
Bug #4367 - Duplicate Alt-S Keyboard Shortcuts on Gui
Bug #4554 - Server unable to accept new SSL connection
Bug #4553 - SSL handshake failure error causes GUI to crash
Bug #4551 - Plugin wizard doesn't create SSL directory
Bug #4548 - Severe code duplication in fingerprint logic
Bug #4547 - Windows server crashes when client fingerprint dialog open
Bug #4539 - Mac client dies when server has SSL_ERROR_SSL
Bug #4537 - Plugin wizard doesn't complete but finish button enabled
Bug #4535 - Server crashes on shut down after multiple connections failed
Bug #4528 - Error SSL_ERROR_SSL is logged on unknown error
Bug #4527 - Server fingerprint dialog on client GUI keeps showing
Bug #4469 - GUI crashes on Windows when generating certificate
Bug #4410 - SSL_ERROR_SSL (unknown protocol) on Mac client
Bug #4409 - SSL_ERROR_SSL (unknown alert type) on Windows 8.1 client
Bug #4557 - GUI doesn't show local fingerprint on fresh install
Enhancement #4522 - SSL server fingerprint verification from client
Enhancement #4526 - Display local fingerprint on server GUI
Enhancement #4549 - Extract SSL certificate and fingerprint generate function
Enhancement #4546 - Redistribute OpenSSL on Windows with installer
Enhancement #4540 - Enable Network Security checkbox only when ns plugin exists
Enhancement #4525 - Reorganize app data directory
Enhancement #4390 - Disable GUI auto-hide by default
",https://api.github.com/users/nbolton,313427,nbolton,https://api.github.com/repos/symless/synergy-core/releases/1196542/assets,https://api.github.com/repos/symless/synergy-core/releases/1196542,v1.7.1-stable,https://api.github.com/repos/symless/synergy-core/tarball/v1.7.1-stable,https://github.com/symless/synergy-core/releases/tag/v1.7.1-stable,https://api.github.com/repos/symless/synergy-core/zipball/v1.7.1-stable,v1.7.1-stable,False,False
1016110,2012-02-04T21:04:38Z,2015-03-05T08:45:01Z,,"Bug #155: Build error on FreeBSD (missing sentinel in function call)
Bug #571: Synergy SegFaults with ""Unknown Quartz Event type: 0x1d""
Bug #617: xrandr rotation on client confines cursor in wrong area
Bug #642: `synergyc --help` segfaults on sparc64 architecture
Bug #652: Stack overflow in getIDForKey
Bug #1071: Can't copy from the Firefox address bar on Linux
Bug #1662: Copying text from remote computer crashes java programs.
Bug #1731: YouTube can cause server to freeze randomly
Bug #2752: Use SAS for ctrl+alt+del on win7
Bug #2763: Double-click broken on Mac OS
Bug #2817: Keypad Subtract has wrong keycode on OS X
Bug #2958: GNOME 3 mouse problem (gnome-shell)
Bug #2962: Clipboard not working on mac client
Bug #3063: Segfault in copy buffer
Bug #3066: Server segfault on clipboard paste
Bug #3089: Comma and Period translated wrong when using the NEO2-layout
Bug #3092: Wrong screen rotation detected
Bug #3105: There doesn't seem to be a system tray available. Quitting
Bug #3116: Memory Leak due to the XInput2 patches
Bug #3117: Dual monitors not detected properly anymore
Feature #3073: Re-introduce auto-start GUI (Windows)
Feature #3076: Re-introduce auto-start backend
Feature #3077: Re-introduce hidden on start
Feature #3091: Add option to remap altgr modifier
Feature #3119: Mac OS X secondary screen
Task #2905: Unit tests: Clipboard classes
Task #3072: Downgrade Linux build machines
Task #3090: CXWindowsKeyState integ test args wrong
",https://api.github.com/users/nbolton,313427,nbolton,https://api.github.com/repos/symless/synergy-core/releases/1016110/assets,https://api.github.com/repos/symless/synergy-core/releases/1016110,master,https://api.github.com/repos/symless/synergy-core/tarball/1.4.6,https://github.com/symless/synergy-core/releases/tag/1.4.6,https://api.github.com/repos/symless/synergy-core/zipball/1.4.6,1.4.6,False,False
