id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
6314065,2017-05-08T16:48:14Z,2017-05-08T16:50:01Z,Release 2.6,"- Added support for new Vim modes.
- Added ability to control output padding.
- Added iTunes player segment.
- Added support for tmux development builds.
- Added a workaround for a fish bug sometimes occurring when using eval from
  config.fish (upstream status unknown).
- Added a workaround for tmux 2.4 bug: excessive CPU usage when having multiple 
  panes (also fixed upstream).
- Fixed clean file status support in mercurial.
- Fixed error when battery capacity is zero and using DBus.
- Fixed mercurial command servers leakage.
- Refactored awesome bindings to use powerline daemon.
",https://api.github.com/users/ZyX-I,322097,ZyX-I,https://api.github.com/repos/powerline/powerline/releases/6314065/assets,https://api.github.com/repos/powerline/powerline/releases/6314065,develop,https://api.github.com/repos/powerline/powerline/tarball/2.6,https://github.com/powerline/powerline/releases/tag/2.6,https://api.github.com/repos/powerline/powerline/zipball/2.6,2.6,False,False
5363061,2017-02-05T10:45:28Z,2017-02-05T10:47:27Z,Release 2.5.2,"- Fixed ipython-5.2\* support.
",https://api.github.com/users/ZyX-I,322097,ZyX-I,https://api.github.com/repos/powerline/powerline/releases/5363061/assets,https://api.github.com/repos/powerline/powerline/releases/5363061,develop,https://api.github.com/repos/powerline/powerline/tarball/2.5.2,https://github.com/powerline/powerline/releases/tag/2.5.2,https://api.github.com/repos/powerline/powerline/zipball/2.5.2,2.5.2,False,False
5363058,2017-02-05T10:28:53Z,2017-02-05T10:46:58Z,Release 2.5.1,"- Made more robust theme default.
- Made it use hglib in place of unstable mercurial plugin API.
- Fixed latest fish version support.
- Some other fixes and documentation adjustments.
",https://api.github.com/users/ZyX-I,322097,ZyX-I,https://api.github.com/repos/powerline/powerline/releases/5363058/assets,https://api.github.com/repos/powerline/powerline/releases/5363058,develop,https://api.github.com/repos/powerline/powerline/tarball/2.5.1,https://github.com/powerline/powerline/releases/tag/2.5.1,https://api.github.com/repos/powerline/powerline/zipball/2.5.1,2.5.1,False,False
4941975,2016-07-13T21:49:53Z,2016-12-16T15:05:01Z,Release 2.5,"- Added IPython-5 support: in new major IPython version prompt code was largerly
  reworked, resulting in different set of hacks needed for powerline to work.
  IPython still does not have features needed to avoid using hacks.
- Added stash segment.
- Fixed trailing whitespace segment: it could incorrectly report trailing
  whitespace if line ended with `b` or `'` on Python-3.
- Fixed weather segment and altered geoip service used.
- Fixed escaping used for status-left option on tmux-2.1 and higher.
",https://api.github.com/users/ZyX-I,322097,ZyX-I,https://api.github.com/repos/powerline/powerline/releases/4941975/assets,https://api.github.com/repos/powerline/powerline/releases/4941975,develop,https://api.github.com/repos/powerline/powerline/tarball/2.5,https://github.com/powerline/powerline/releases/tag/2.5,https://api.github.com/repos/powerline/powerline/zipball/2.5,2.5,False,False
3046383,2016-04-18T23:03:11Z,2016-04-18T22:49:00Z,Release 2.4,"- Added `short` parameter for `system_load` segment that leaves only one load 
  average number out of three.
- Added `powerline.segments.i3wm.scratchpad` segment used to list windows that 
  are currently on the scratchpad.
- Added support for multiple batteries in battery segment.
- Added `….i3wm.workspace` segment which describes single i3wm workspace and 
  workspaces lister. Old `….i3wm.workspaces` segment was deprecated.
- Added support for multiple monitors in lemonbar bindings.
- Added support for most recent tmux version (2.2).
- Fixed battery status support on some linux systems.
- Fixed MPD bindings: they sometimes were not able to handle names if they did 
  not fit ASCII.
- Fixed MPD bindings: they did not correctly get elapsed time.
- Fixed AttributeError on some systems: LC_MESSAGES is not always available.
- Fixed Mac OS-specific variant of spotify player support when Python-3 is 
  used.
- Fixed performance of the tabline.
",https://api.github.com/users/ZyX-I,322097,ZyX-I,https://api.github.com/repos/powerline/powerline/releases/3046383/assets,https://api.github.com/repos/powerline/powerline/releases/3046383,develop,https://api.github.com/repos/powerline/powerline/tarball/2.4,https://github.com/powerline/powerline/releases/tag/2.4,https://api.github.com/repos/powerline/powerline/zipball/2.4,2.4,False,False
1987593,2015-10-20T09:55:04Z,2015-10-20T09:49:28Z,Release 2.3,"- Added ability to hide domain part of the user name to common.env.user segment.
- Added ability to show conda environment to virtualenv segment.
- Added systemd service file.
- Added ability to detect internal_ip interface using default gateway.
- Added support for password-protected connections in mpd player bindings.
- Added `output` option to i3wm.workspaces segment to filter workspaces based on 
  their output.
- Added “charging” indicator to battery segment.
- Made tmux bindings show zoom indicator in window status.
- Fixed tmux bindings so that they support tmux-2.1.
- Fixed support for unicode characters in common.time.date segment.
",https://api.github.com/users/ZyX-I,322097,ZyX-I,https://api.github.com/repos/powerline/powerline/releases/1987593/assets,https://api.github.com/repos/powerline/powerline/releases/1987593,develop,https://api.github.com/repos/powerline/powerline/tarball/2.3,https://github.com/powerline/powerline/releases/tag/2.3,https://api.github.com/repos/powerline/powerline/zipball/2.3,2.3,False,False
1467655,2015-06-26T22:51:57Z,2015-06-26T22:48:24Z,Release 2.2,"- Added support for newest psutil version.
- Added support for non-SSL IMAP4 connection.
- Added support for clickable tab names in Vim.
- Added support for truncating tmux segments.
- Added support for new (i3ipc) module that interacts with i3.
- Added support for i3 modes.
- Fixed coloring of network_load segment.
- Fixed dash bindings on OS X.
- Fixed parsing numbers starting with 2 supplied by POWERLINE_*_OVERRIDES 
  environment variables.
",https://api.github.com/users/ZyX-I,322097,ZyX-I,https://api.github.com/repos/powerline/powerline/releases/1467655/assets,https://api.github.com/repos/powerline/powerline/releases/1467655,develop,https://api.github.com/repos/powerline/powerline/tarball/2.2,https://github.com/powerline/powerline/releases/tag/2.2,https://api.github.com/repos/powerline/powerline/zipball/2.2,2.2,False,False
1280134,2015-05-10T20:19:07Z,2015-05-10T20:14:07Z,Release 2.1.4,"- Fixed tmux support broken by 2.1.1.
",https://api.github.com/users/ZyX-I,322097,ZyX-I,https://api.github.com/repos/powerline/powerline/releases/1280134/assets,https://api.github.com/repos/powerline/powerline/releases/1280134,develop,https://api.github.com/repos/powerline/powerline/tarball/2.1.4,https://github.com/powerline/powerline/releases/tag/2.1.4,https://api.github.com/repos/powerline/powerline/zipball/2.1.4,2.1.4,False,False
1280051,2015-05-10T19:31:40Z,2015-05-10T19:29:43Z,Release 2.1.3,"- Fixed powerline-render arguments parsing.
",https://api.github.com/users/ZyX-I,322097,ZyX-I,https://api.github.com/repos/powerline/powerline/releases/1280051/assets,https://api.github.com/repos/powerline/powerline/releases/1280051,develop,https://api.github.com/repos/powerline/powerline/tarball/2.1.3,https://github.com/powerline/powerline/releases/tag/2.1.3,https://api.github.com/repos/powerline/powerline/zipball/2.1.3,2.1.3,False,False
1279622,2015-05-10T14:54:34Z,2015-05-10T14:49:08Z,Release 2.1.1,"- Added support for placing powerline on the left in qtile.
- Added qtile-1.9 support.
- Fixed tmux-2.0 support.
- Made it easier to run tests outside of travis.
- Added some missing highlight groups.
- Made it omit writing empty above lines.
- Fixed UnicodeEncodeError when running powerline-lint with non-ASCII characters 
  in error messages.
- Fixed code that replaces `&statusline` value: it now is able to replace 
  non-ASCII `&statusline`s as well.
",https://api.github.com/users/ZyX-I,322097,ZyX-I,https://api.github.com/repos/powerline/powerline/releases/1279622/assets,https://api.github.com/repos/powerline/powerline/releases/1279622,develop,https://api.github.com/repos/powerline/powerline/tarball/2.1.1,https://github.com/powerline/powerline/releases/tag/2.1.1,https://api.github.com/repos/powerline/powerline/zipball/2.1.1,2.1.1,False,False
