id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
6221824,2017-04-28T12:21:18Z,2017-04-28T12:39:07Z,v2.0.2,- Fix mitmweb's Content-Security-Policy to work with Chrome 58+ (#2284),https://api.github.com/users/mhils,1019198,mhils,https://api.github.com/repos/mitmproxy/mitmproxy/releases/6221824/assets,https://api.github.com/repos/mitmproxy/mitmproxy/releases/6221824,master,https://api.github.com/repos/mitmproxy/mitmproxy/tarball/v2.0.2,https://github.com/mitmproxy/mitmproxy/releases/tag/v2.0.2,https://api.github.com/repos/mitmproxy/mitmproxy/zipball/v2.0.2,v2.0.2,False,False
5757777,2017-03-15T18:44:08Z,2017-03-15T19:01:33Z,v2.0.1,"* bump cryptography dependency
* bump pyparsing dependency
* HTTP/2: use header normalization from hyper-h2",https://api.github.com/users/Kriechi,114300,Kriechi,https://api.github.com/repos/mitmproxy/mitmproxy/releases/5757777/assets,https://api.github.com/repos/mitmproxy/mitmproxy/releases/5757777,master,https://api.github.com/repos/mitmproxy/mitmproxy/tarball/v2.0.1,https://github.com/mitmproxy/mitmproxy/releases/tag/v2.0.1,https://api.github.com/repos/mitmproxy/mitmproxy/zipball/v2.0.1,v2.0.1,False,False
5524641,2017-02-21T17:55:31Z,2017-02-21T18:08:22Z,v2.0,"- HTTP/2 is now enabled by default.
- Add transparent proxy support for OpenBSD.
- Check the mitmproxy CA for expiration and warn the user to regenerate it if necessary.
- Image Content Views: Images are now parsed with Kaitai Struct (kaitai.io) instead of Pillow. This simplifies installation, reduces binary size, and allows parsing in pure Python.
- Testing: Tremendous improvements, enforced 100% individual coverage for large parts of the codebase, increased overall coverage.
- A myriad of other small improvements and bugfixes throughout the project.
",https://api.github.com/users/Kriechi,114300,Kriechi,https://api.github.com/repos/mitmproxy/mitmproxy/releases/5524641/assets,https://api.github.com/repos/mitmproxy/mitmproxy/releases/5524641,master,https://api.github.com/repos/mitmproxy/mitmproxy/tarball/v2.0.0,https://github.com/mitmproxy/mitmproxy/releases/tag/v2.0.0,https://api.github.com/repos/mitmproxy/mitmproxy/zipball/v2.0.0,v2.0.0,False,False
5025741,2016-12-28T14:36:34Z,2016-12-28T15:30:08Z,v1.0.2,"- Fix compatibility with Python 3.5.**0**
",https://api.github.com/users/mhils,1019198,mhils,https://api.github.com/repos/mitmproxy/mitmproxy/releases/5025741/assets,https://api.github.com/repos/mitmproxy/mitmproxy/releases/5025741,master,https://api.github.com/repos/mitmproxy/mitmproxy/tarball/v1.0.2,https://github.com/mitmproxy/mitmproxy/releases/tag/v1.0.2,https://api.github.com/repos/mitmproxy/mitmproxy/zipball/v1.0.2,v1.0.2,False,False
5020425,2016-12-27T18:26:28Z,2016-12-27T18:34:55Z,v1.0.1,"- Fix compatibility with Python 3.6
",https://api.github.com/users/mhils,1019198,mhils,https://api.github.com/repos/mitmproxy/mitmproxy/releases/5020425/assets,https://api.github.com/repos/mitmproxy/mitmproxy/releases/5020425,master,https://api.github.com/repos/mitmproxy/mitmproxy/tarball/v1.0.1,https://github.com/mitmproxy/mitmproxy/releases/tag/v1.0.1,https://api.github.com/repos/mitmproxy/mitmproxy/zipball/v1.0.1,v1.0.1,False,False
5011777,2016-12-25T22:53:27Z,2016-12-26T01:12:22Z,v1.0,"- All mitmproxy tools are now Python 3 only! We plan to support Python 3.5 and higher.
- Web-Based User Interface: Mitmproxy now offically has a web-based user interface
    called mitmweb. We consider it stable for all features currently exposed 
    in the UI, but it still misses a lot of mitmproxy’s options.  
- Windows Compatibility: With mitmweb, mitmproxy is now useable on Windows. 
    We are also introducing an installer (kindly sponsored by BitRock) that 
    simplifies setup.
- Configuration: The config file format is now a single YAML file. In most cases,
    converting to the new format should be trivial - please see the docs for
    more information.
- Console: Significant UI improvements - including sorting of flows by
    size, type and url, status bar improvements, much faster indentation for
    HTTP views, and more.
- HTTP/2: Significant improvements, but is temporarily disabled by default
    due to wide-spread protocol implementation errors on some large website
- WebSocket: The protocol implementation is now mature, and is enabled by
    default. Complete UI support is coming in the next release. Hooks for 
    message interception and manipulation are available.
- A myriad of other small improvements throughout the project.
",https://api.github.com/users/cortesi,22544,cortesi,https://api.github.com/repos/mitmproxy/mitmproxy/releases/5011777/assets,https://api.github.com/repos/mitmproxy/mitmproxy/releases/5011777,master,https://api.github.com/repos/mitmproxy/mitmproxy/tarball/v1.0,https://github.com/mitmproxy/mitmproxy/releases/tag/v1.0,https://api.github.com/repos/mitmproxy/mitmproxy/zipball/v1.0,v1.0,False,False
4485725,2016-10-26T05:38:48Z,2016-10-26T06:55:28Z,v0.18.2,"This is a bugfix-only release. All users are advised to update. :smiley:
- Fix crash on shutdown (#1620)
- Fix client replay (#1666)
- Constrain h2 version (#1671)

0.18 will be the last release that supports both Python 2 and 3.5+. The next release will support Python 3.5+ only.
",https://api.github.com/users/mhils,1019198,mhils,https://api.github.com/repos/mitmproxy/mitmproxy/releases/4485725/assets,https://api.github.com/repos/mitmproxy/mitmproxy/releases/4485725,master,https://api.github.com/repos/mitmproxy/mitmproxy/tarball/v0.18.2,https://github.com/mitmproxy/mitmproxy/releases/tag/v0.18.2,https://api.github.com/repos/mitmproxy/mitmproxy/zipball/v0.18.2,v0.18.2,False,False
4400421,2016-10-16T10:52:47Z,2016-10-16T11:23:51Z,v0.18.1 (really v0.18),"- Python 3 Compatibility for mitmproxy and pathod (Shadab Zafar, GSoC 2016)
- Major improvements to mitmweb (Clemens Brunner & Jason Hao, GSoC 2016)
- Internal Core Refactor: Separation of most features into isolated Addons
- Initial Support for WebSockets
- Improved HTTP/2 Support
- Reverse Proxy Mode now automatically adjusts host headers and TLS Server Name Indication
- Improved HAR export
- Improved export functionality for curl, python code, raw http etc.
- Flow URLs are now truncated in the console for better visibility
- New filters for TCP, HTTP and marked flows.
- Mitmproxy now handles comma-separated Cookie headers
- Merge mitmproxy and pathod documentation
- Mitmdump now sanitizes its console output to not include control characters
- Improved message body handling for HTTP messages:
  - .raw_content provides the message body as seen on the wire
  - .content provides the decompressed body (e.g. un-gzipped)
  - .text provides the body decompressed and decoded body
- New HTTP Message getters/setters for cookies and form contents.
- Add ability to view only marked flows in mitmproxy
- Improved Script Reloader (Always use polling, watch for whole directory)
- Use tox for testing
- Unicode support for tnetstrings
- Add dumpfile converters for mitmproxy versions 0.11 and 0.12
- Numerous bugfixes
",https://api.github.com/users/cortesi,22544,cortesi,https://api.github.com/repos/mitmproxy/mitmproxy/releases/4400421/assets,https://api.github.com/repos/mitmproxy/mitmproxy/releases/4400421,master,https://api.github.com/repos/mitmproxy/mitmproxy/tarball/v0.18.1,https://github.com/mitmproxy/mitmproxy/releases/tag/v0.18.1,https://api.github.com/repos/mitmproxy/mitmproxy/zipball/v0.18.1,v0.18.1,False,False
3075056,2016-04-22T03:01:41Z,2016-04-22T06:48:10Z,mitmproxy 0.17.1,"This is a quick **bugfix release for the precompiled binary distributions only**, which previously failed when a filter was specified.
",https://api.github.com/users/mhils,1019198,mhils,https://api.github.com/repos/mitmproxy/mitmproxy/releases/3075056/assets,https://api.github.com/repos/mitmproxy/mitmproxy/releases/3075056,master,https://api.github.com/repos/mitmproxy/mitmproxy/tarball/v0.17.1,https://github.com/mitmproxy/mitmproxy/releases/tag/v0.17.1,https://api.github.com/repos/mitmproxy/mitmproxy/zipball/v0.17.1,v0.17.1,False,False
2987854,2016-04-10T01:31:19Z,2016-04-10T01:35:01Z,mitmproxy 0.17,"- Simplify repository and release structure. mitmproxy now comes as a single package, including netlib and pathod.
- Rename the Python package from libmproxy to mitmproxy.
- New option to add server certs to client chain (CVE-2016-2402, John Kozyrakis)
- Enable HTTP/2 by default (Thomas Kriechbaumer)
- Improved HAR extractor (Shadab Zafar)
- Add icon for OSX and Windows binaries
- Add content view for query parameters (Will Coster)
- Initial work on Python 3 compatibility
- locust.io export (Zohar Lorberbaum)
- Fix XSS vulnerability in HTTP errors (Will Coster)
- Numerous bugfixes and minor improvements
",https://api.github.com/users/mhils,1019198,mhils,https://api.github.com/repos/mitmproxy/mitmproxy/releases/2987854/assets,https://api.github.com/repos/mitmproxy/mitmproxy/releases/2987854,master,https://api.github.com/repos/mitmproxy/mitmproxy/tarball/v0.17,https://github.com/mitmproxy/mitmproxy/releases/tag/v0.17,https://api.github.com/repos/mitmproxy/mitmproxy/zipball/v0.17,v0.17,False,False
2619205,2016-02-14T16:04:47Z,2016-02-15T21:26:33Z,v0.16,"- Completely revised HTTP2 implementation based on hyper-h2 (Thomas Kriechbaumer)
- Export flows as cURL command, Python code or raw HTTP (Shadab Zafar)
- Fixed compatibility with the Android Emulator (Will Coster)
- Script Reloader: Inline scripts are reloaded automatically if modified (Matthew Shao)
- Inline script hooks for TCP mode (Michael J. Bazzinotti)
- Add default ciphers to support iOS9 App Transport Security (Jorge Villacorta)
- Basic Authentication for mitmweb (Guillem Anguera)
- Exempt connections from interception based on TLS Server Name Indication (David Weinstein)
- Provide Python Wheels for faster installation
- Numerous bugfixes and minor improvements
",https://api.github.com/users/cortesi,22544,cortesi,https://api.github.com/repos/mitmproxy/mitmproxy/releases/2619205/assets,https://api.github.com/repos/mitmproxy/mitmproxy/releases/2619205,master,https://api.github.com/repos/mitmproxy/mitmproxy/tarball/v0.16,https://github.com/mitmproxy/mitmproxy/releases/tag/v0.16,https://api.github.com/repos/mitmproxy/mitmproxy/zipball/v0.16,v0.16,False,False
