id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
8293712,2017-10-27T20:27:28Z,2017-10-27T21:24:35Z,ios-v3.7.0-beta.3,"[Changes](https://github.com/mapbox/mapbox-gl-native/compare/ios-v3.7.0-beta.2...ios-v3.7.0-beta.3) since [Mapbox iOS SDK v3.7.0-beta.2](https://github.com/mapbox/mapbox-gl-native/releases/tag/ios-v3.7.0-beta.2):

### Annotations and user interaction
* Fixed an issue where view annotations could be slightly misaligned. View annotation placement is now rounded to the nearest pixel. ([#10219](https://github.com/mapbox/mapbox-gl-native/pull/10219))

### Other changes

* Fixed a crash when enabling the scale bar in iOS 8. ([#10241](https://github.com/mapbox/mapbox-gl-native/pull/10241))

### Beta fixes
* Fixed an issue where adding a `MGLRasterStyleLayer` on map is not refreshed until the map is panned. ([#10270](https://github.com/mapbox/mapbox-gl-native/pull/10270))

To install this prerelease via CocoaPods, point your Podfile to either of these URLs:

* https://raw.githubusercontent.com/mapbox/mapbox-gl-native/ios-v3.7.0-beta.3/platform/ios/Mapbox-iOS-SDK.podspec
* https://raw.githubusercontent.com/mapbox/mapbox-gl-native/ios-v3.7.0-beta.3/platform/ios/Mapbox-iOS-SDK-symbols.podspec

Documentation is [available online](https://www.mapbox.com/ios-sdk/api/3.7.0-beta.3/) or as part of the download.",https://api.github.com/users/1ec5,1231218,1ec5,https://api.github.com/repos/mapbox/mapbox-gl-native/releases/8293712/assets,https://api.github.com/repos/mapbox/mapbox-gl-native/releases/8293712,master,https://api.github.com/repos/mapbox/mapbox-gl-native/tarball/ios-v3.7.0-beta.3,https://github.com/mapbox/mapbox-gl-native/releases/tag/ios-v3.7.0-beta.3,https://api.github.com/repos/mapbox/mapbox-gl-native/zipball/ios-v3.7.0-beta.3,ios-v3.7.0-beta.3,False,True
8279659,2017-10-26T21:47:16Z,2017-10-26T22:06:56Z,Release Android v5.2.0-beta.3,"- Reorganize dependencies #10268
- Blacklist VAO usage on adreno 3xx #10291
- On stop null check #10259",https://api.github.com/users/Guardiola31337,1668582,Guardiola31337,https://api.github.com/repos/mapbox/mapbox-gl-native/releases/8279659/assets,https://api.github.com/repos/mapbox/mapbox-gl-native/releases/8279659,master,https://api.github.com/repos/mapbox/mapbox-gl-native/tarball/android-v5.2.0-beta.3,https://github.com/mapbox/mapbox-gl-native/releases/tag/android-v5.2.0-beta.3,https://api.github.com/repos/mapbox/mapbox-gl-native/zipball/android-v5.2.0-beta.3,android-v5.2.0-beta.3,False,True
8190078,2017-10-19T23:27:26Z,2017-10-19T23:30:02Z,[node] Release v3.5.8 (#10243),"- Fixes an issue that causes memory leaks when not deleting the frontend object in NodeMap::release()
- Fixes a crash in Earcut: [#10245](https://github.com/mapbox/mapbox-gl-native/pull/10245)",https://api.github.com/users/brunoabinader,76133,brunoabinader,https://api.github.com/repos/mapbox/mapbox-gl-native/releases/8190078/assets,https://api.github.com/repos/mapbox/mapbox-gl-native/releases/8190078,master,https://api.github.com/repos/mapbox/mapbox-gl-native/tarball/node-v3.5.8,https://github.com/mapbox/mapbox-gl-native/releases/tag/node-v3.5.8,https://api.github.com/repos/mapbox/mapbox-gl-native/zipball/node-v3.5.8,node-v3.5.8,False,False
8182268,2017-10-19T14:07:21Z,2017-10-19T14:11:14Z,Release Android v5.2.0-beta.2,"- Wire up MapZoomButtonController with camera change events #10221
- Execute callbacks only when not idle #10220
- Cleanup unused gradle plugins #10211
- add FileSource pause/resume #9977
- add make target for ndk-stack #10185
- Add interpolator examples #10067
- Add an UnsatisfiedLinkError safeguard #10180
- Hold off handling hover events untill map has been created #10142
- Cherry pick #10107: Map::cameraForGeometry() #10166
- Fine tune gesture zoom & rotation #10134 ",https://api.github.com/users/Guardiola31337,1668582,Guardiola31337,https://api.github.com/repos/mapbox/mapbox-gl-native/releases/8182268/assets,https://api.github.com/repos/mapbox/mapbox-gl-native/releases/8182268,master,https://api.github.com/repos/mapbox/mapbox-gl-native/tarball/android-v5.2.0-beta.2,https://github.com/mapbox/mapbox-gl-native/releases/tag/android-v5.2.0-beta.2,https://api.github.com/repos/mapbox/mapbox-gl-native/zipball/android-v5.2.0-beta.2,android-v5.2.0-beta.2,False,True
8173286,2017-10-18T21:24:33Z,2017-10-18T22:43:17Z,ios-v3.7.0-beta.2,"[Changes](https://github.com/mapbox/mapbox-gl-native/compare/ios-v3.7.0-beta.1...ios-v3.7.0-beta.2) since [Mapbox iOS SDK v3.7.0-beta.1](https://github.com/mapbox/mapbox-gl-native/releases/tag/ios-v3.7.0-beta.1):

### Annotations and user interaction

* Added `-[MGLMapView cameraThatFitsShape:direction:edgePadding:]` to get a camera with zoom level and center coordinate computed to fit a shape. ([#10107](https://github.com/mapbox/mapbox-gl-native/pull/10107))
* Added support selection of shape and polyline annotations.([#9984](https://github.com/mapbox/mapbox-gl-native/pull/9984))

### Other changes

* Fixed a conflict between multiple copies of SMCalloutView in a project. ([#10183](https://github.com/mapbox/mapbox-gl-native/pull/10183))

To install this prerelease via CocoaPods, point your Podfile to either of these URLs:

* https://raw.githubusercontent.com/mapbox/mapbox-gl-native/ios-v3.7.0-beta.2/platform/ios/Mapbox-iOS-SDK.podspec
* https://raw.githubusercontent.com/mapbox/mapbox-gl-native/ios-v3.7.0-beta.2/platform/ios/Mapbox-iOS-SDK-symbols.podspec

Documentation is [available online](https://www.mapbox.com/ios-sdk/api/3.7.0-beta.2/) or as part of the download.",https://api.github.com/users/1ec5,1231218,1ec5,https://api.github.com/repos/mapbox/mapbox-gl-native/releases/8173286/assets,https://api.github.com/repos/mapbox/mapbox-gl-native/releases/8173286,master,https://api.github.com/repos/mapbox/mapbox-gl-native/tarball/ios-v3.7.0-beta.2,https://github.com/mapbox/mapbox-gl-native/releases/tag/ios-v3.7.0-beta.2,https://api.github.com/repos/mapbox/mapbox-gl-native/zipball/ios-v3.7.0-beta.2,ios-v3.7.0-beta.2,False,True
8027077,2017-10-06T15:55:41Z,2017-10-06T16:00:42Z,Release Android v5.2.0-beta.1,"- Allow multiple listeners for camera events, deprecate old API #10141
- Update symbol layer example with location #10092
- Make OfflineTilePyramidRegionDefinition parceable #10080
- Fix 5.2.0-SNAPSHOT CI build failing #10079
- Deprecate MarkerView #9782
- Hide overlain views on initalisation #10068
- API for platform side animations #10001
- Android asynchronous rendering #9576
- Set error handler when starting snapshotter #10035
- Hook camera events into compass #10019
- Testapp cleanup #10006
- Update zoom function example with selected state #9987
- Add style inspection to debug activity #9773
- Bump external dependencies #9972
- Don't recycle bitmap for icon reuse. #9966
- Android snapshotter #9748
- Revert #9764 #9851
- Update docs replacing Bitrise mentions with CircleCI #9515
- Style image accessor #9763
- Update readme with checkstyle and ndk-stack #9788
- make android-check #9787
- Deprecate MyLocationView in favor of LocationLayer plugin #9771
- Increase firebase timeout for CI testing #9774
- Restore max zoom to 25.5 #9765
- Update example of camera zoom function on a symbol layer. #9743
- Optimise icon management #9643
- Expose setStyleJson and getStyleJson #9714
- update LatLngBounds activity with BottomSheet interaction #9736
- post updating InfoWindow update for InfoWindowAdapter #9716
- Annotate MapboxMap class with UiThread #9712
- Move ZoomButtonController creation to view initalisation #9587
- Solve lint issues, reduce baseline #9627
- Remove wear module from project #9618
- Add zMediaOverlay configuration + bottom sheet integration #9592
- Forward getMapAsync to map for fragment #9621
- Make target for dumping system gfx information #9616
- Make target documentation #9617
- onGlobalLayout hook for map creation #9607
- Custom viewpager for horizontal swiping #9601
- Disable program caching on Adreno 3xx, 4xx, and 5xx GPUs due to known bugs #9574
- Avoid creating InfoWindow iterator if no InfoWindows are shown #9477
- Rewire map initialisation #9462
- Trying to update non-existent polyline fix #9544
- Location accuracy threshold #9472
- Rewire gesture handling and telemetry event push #9494
- run style instrumentation tests on CI #9353
- Fix javadoc comment for public setOfflineMapboxTileCountLimit method #9454
- add Map change & visibility test activities #9425
- build release package once during ci build #9351
- Default max zoom 22 #9835
- SDK Bindings for Image Sources #9110",https://api.github.com/users/Guardiola31337,1668582,Guardiola31337,https://api.github.com/repos/mapbox/mapbox-gl-native/releases/8027077/assets,https://api.github.com/repos/mapbox/mapbox-gl-native/releases/8027077,master,https://api.github.com/repos/mapbox/mapbox-gl-native/tarball/android-v5.2.0-beta.1,https://github.com/mapbox/mapbox-gl-native/releases/tag/android-v5.2.0-beta.1,https://api.github.com/repos/mapbox/mapbox-gl-native/zipball/android-v5.2.0-beta.1,android-v5.2.0-beta.1,False,True
8001312,2017-10-04T21:35:06Z,2017-10-05T01:40:06Z,ios-v3.7.0-beta.1,"[Changes](https://github.com/mapbox/mapbox-gl-native/compare/ios-v3.7.0-alpha.1...ios-v3.7.0-beta.1) since [Mapbox iOS SDK v3.7.0-alpha.1](https://github.com/mapbox/mapbox-gl-native/releases/tag/ios-v3.7.0-alpha.1):

### Networking and storage

* Added a new `MGLMapSnapshotter` class for capturing rendered map images from an `MGLMapView`’s camera. (#9891)
* Reduced the time it takes to create new `MGLMapView` instances in some cases. (#9864)
* Added support for forced cache revalidation that will eliminate flickering that was sometimes visible for certain types of tiles (e.g., traffic tiles). (#9670)
* Improved the performance of the SDK when parsing vector tile data used to render the map. (#9312)

### Styles

* Added a new type of source, represented by the `MGLImageSource` class at runtime, that displays a georeferenced image. (#9110)
* Setting a style using `MGLMapView`'s `styleURL` property now smoothly transitions from the previous style to the new style and maintains equivalent layers and sources along with their identifiers. (#9256)
* Added `MGLCircleStyleLayer.circlePitchAlignment` and `MGLSymbolStyleLayer.iconPitchAlignment` properties to control whether circles and symbols lie flat against a tilted map. (#9426, #9479)
* Added an `MGLSymbolStyleLayer.iconAnchor` property to control where an icon is anchored. (#9849)
* The `maximumTextWidth` and `textLetterSpacing` properties of `MGLSymbolStyleLayer` are now compatible with `MGLSourceStyleFunction`s and `MGLCompositeStyleFunction`s, allowing data-driven styling of these properties. (#9870)
* Improved the legibility of labels that follow lines when the map is tilted. (#9009)
* Fixed an issue that could cause flickering when a translucent raster style layer was present. (#9468)
* Fixed an issue that could cause antialiasing between polygons on the same layer to fail if the fill layers used data-driven styling for the fill color. (#9699)
* The previously deprecated support for style classes has been removed. For interface compatibility, the API methods remain, but they are now non-functional.

### Annotations and user interaction

* Fixed several bugs and performance issues related to the use of annotations backed by `MGLAnnotationImage`. The limits on the number and size of images and glyphs has been effectively eliminated and should now depend on hardware constraints. These fixes also apply to images used to represent icons in `MGLSymbolStyleLayer`. (#9213)
* Increased the default maximum zoom level from 20 to 22. (#9835)
* Added an `overlays` property to `MGLMapView`. (#8617)
* Selecting an annotation no longer sets the user tracking mode to `MGLUserTrackingModeNone`. (#10094)

### Other changes

* Fixed an issue that could cause line label rendering glitches when the line geometry is projected to a point behind the plane of the camera. (#9865)
* Fixed an issue that could cause a crash when using `-[MGLMapView flyToCamera:completionHandler:]` and related methods with zoom levels at or near the maximum value. (#9381)
* Added `-[MGLMapView showAttribution:]` to allow custom attribution buttons to show the default attribution interface. (#10085)

To install this prerelease via CocoaPods, point your Podfile to either of these URLs:

* https://raw.githubusercontent.com/mapbox/mapbox-gl-native/ios-v3.7.0-beta.1/platform/ios/Mapbox-iOS-SDK.podspec
* https://raw.githubusercontent.com/mapbox/mapbox-gl-native/ios-v3.7.0-beta.1/platform/ios/Mapbox-iOS-SDK-symbols.podspec

Documentation is [available online](https://www.mapbox.com/ios-sdk/api/3.7.0-beta.1/) or as part of the download.",https://api.github.com/users/fabian-guerra,2745166,fabian-guerra,https://api.github.com/repos/mapbox/mapbox-gl-native/releases/8001312/assets,https://api.github.com/repos/mapbox/mapbox-gl-native/releases/8001312,master,https://api.github.com/repos/mapbox/mapbox-gl-native/tarball/ios-v3.7.0-beta.1,https://github.com/mapbox/mapbox-gl-native/releases/tag/ios-v3.7.0-beta.1,https://api.github.com/repos/mapbox/mapbox-gl-native/zipball/ios-v3.7.0-beta.1,ios-v3.7.0-beta.1,False,True
7890805,2017-09-26T09:43:33Z,2017-09-26T10:23:07Z,android-v5.1.4,"* Update translations [#10033](https://github.com/mapbox/mapbox-gl-native/pull/10033) & [#9945](https://github.com/mapbox/mapbox-gl-native/pull/9945)
* Fix layer z-fighting [#9942](https://github.com/mapbox/mapbox-gl-native/pull/9942)
* Align line vertex to 4-byte boundary [#9943](https://github.com/mapbox/mapbox-gl-native/pull/9943)
* Bump proguard config for OkHttp [#9970](https://github.com/mapbox/mapbox-gl-native/pull/9970)
* Remove database on schema downgrade [#9837](https://github.com/mapbox/mapbox-gl-native/pull/9837)
* Disable rotation gesture when pinch zooming [#10026](https://github.com/mapbox/mapbox-gl-native/pull/10026)
* Do not check if connection is local request [#9968](https://github.com/mapbox/mapbox-gl-native/pull/9968)
* Harden offline region deletion [#9967](https://github.com/mapbox/mapbox-gl-native/pull/9967)
* Clear out mapCallback's OnMapReadyListeners on destroy [#9957](https://github.com/mapbox/mapbox-gl-native/pull/9957)
* Avoid adding duplicate points to bounds [#9955](https://github.com/mapbox/mapbox-gl-native/pull/9955)
* Continue rendering tiles despite errors [#10012](https://github.com/mapbox/mapbox-gl-native/pull/10012)
* Download is complete fix [#9913](https://github.com/mapbox/mapbox-gl-native/pull/9913)
* MAS 2.2.3 [#9901](https://github.com/mapbox/mapbox-gl-native/pull/9901)",https://api.github.com/users/tobrun,2151639,tobrun,https://api.github.com/repos/mapbox/mapbox-gl-native/releases/7890805/assets,https://api.github.com/repos/mapbox/mapbox-gl-native/releases/7890805,release-ios-v3.6.0-android-v5.1.0,https://api.github.com/repos/mapbox/mapbox-gl-native/tarball/android-v5.1.4,https://github.com/mapbox/mapbox-gl-native/releases/tag/android-v5.1.4,https://api.github.com/repos/mapbox/mapbox-gl-native/zipball/android-v5.1.4,android-v5.1.4,False,False
7886261,2017-09-25T20:44:44Z,2017-09-26T01:16:54Z,macos-v0.5.1,"This version of the Mapbox macOS SDK corresponds to version 3.6.4 of the Mapbox iOS SDK. [Changes](https://github.com/mapbox/mapbox-gl-native/compare/macos-v0.5.0...macos-v0.5.1) since [macos-v0.5.0](https://github.com/mapbox/mapbox-gl-native/releases/tag/macos-v0.5.0):

* Added an `MGLStyle.localizesLabels` property, off by default, that localizes any Mapbox Streets–sourced symbol layer into the user’s preferred language. (#9582)
* Fixed an issue that caused `-[MGLShapeSource featuresMatchingPredicate:]` and `-[MGLVectorSource featuresInSourceLayersWithIdentifiers:predicate:]` to always return an empty array. (#9784)
* `MGLMapView`’s `minimumZoomLevel` and `maximumZoomLevel` properties are now available in Interface Builder’s Attributes inspector. (#9729)
* Added a Hungarian localization. (#9945)
* Deprecated `+[MGLStyle trafficDayStyleURL]` and `+[MGLStyle trafficNightStyleURL]` with no replacement method. To use the Traffic Day and Traffic Night styles going forward, we recommend that you use the underlying URL. (#9918)
* Fixed an issue where stale (but still valid) map data could be ignored in offline mode. (#10012)

Documentation is [available online](https://mapbox.github.io/mapbox-gl-native/macos/0.5.1/) or as part of the download.",https://api.github.com/users/1ec5,1231218,1ec5,https://api.github.com/repos/mapbox/mapbox-gl-native/releases/7886261/assets,https://api.github.com/repos/mapbox/mapbox-gl-native/releases/7886261,master,https://api.github.com/repos/mapbox/mapbox-gl-native/tarball/macos-v0.5.1,https://github.com/mapbox/mapbox-gl-native/releases/tag/macos-v0.5.1,https://api.github.com/repos/mapbox/mapbox-gl-native/zipball/macos-v0.5.1,macos-v0.5.1,False,False
7883487,2017-09-25T19:43:28Z,2017-09-25T20:14:59Z,ios-v3.6.4,"[Changes](https://github.com/mapbox/mapbox-gl-native/compare/ios-v3.6.3...ios-v3.6.4) since [Mapbox iOS SDK v3.6.3](https://github.com/mapbox/mapbox-gl-native/releases/tag/ios-v3.6.3):

* Fixed an issue where stale (but still valid) map data could be ignored in offline mode. ([#10012](https://github.com/mapbox/mapbox-gl-native/pull/10012))

Documentation is [available online](https://www.mapbox.com/ios-sdk/api/3.6.4/) or as part of the download.",https://api.github.com/users/fabian-guerra,2745166,fabian-guerra,https://api.github.com/repos/mapbox/mapbox-gl-native/releases/7883487/assets,https://api.github.com/repos/mapbox/mapbox-gl-native/releases/7883487,master,https://api.github.com/repos/mapbox/mapbox-gl-native/tarball/ios-v3.6.4,https://github.com/mapbox/mapbox-gl-native/releases/tag/ios-v3.6.4,https://api.github.com/repos/mapbox/mapbox-gl-native/zipball/ios-v3.6.4,ios-v3.6.4,False,False
