id,created_at,published_at,name,body,author_url,author_id,author_login,assets_url,url,target_commitish,tarball_url,html_url,zipball_url,tag_name,draft,prerelease
7445277,2017-08-18T16:16:25Z,2017-08-18T16:17:24Z,Faraday 0.13.1,* Fixes an incompatibility with Addressable::URI being used as uri_parser,https://api.github.com/users/iMacTia,2527520,iMacTia,https://api.github.com/repos/lostisland/faraday/releases/7445277/assets,https://api.github.com/repos/lostisland/faraday/releases/7445277,master,https://api.github.com/repos/lostisland/faraday/tarball/v0.13.1,https://github.com/lostisland/faraday/releases/tag/v0.13.1,https://api.github.com/repos/lostisland/faraday/zipball/v0.13.1,v0.13.1,False,False
7395165,2017-08-15T09:54:52Z,2017-08-15T10:11:41Z,Faraday 0.13.0,"* Dynamically reloads the proxy when performing a request on an absolute domain (#701)
* Prefer #hostname over #host. (#714)
* Adapter support for Net::HTTP::Persistent v3.0.0 (#619)
* Fixes an edge-case issue with response headers parsing (missing HTTP header) (#719)",https://api.github.com/users/iMacTia,2527520,iMacTia,https://api.github.com/repos/lostisland/faraday/releases/7395165/assets,https://api.github.com/repos/lostisland/faraday/releases/7395165,master,https://api.github.com/repos/lostisland/faraday/tarball/v0.13.0,https://github.com/lostisland/faraday/releases/tag/v0.13.0,https://api.github.com/repos/lostisland/faraday/zipball/v0.13.0,v0.13.0,False,False
7122387,2017-07-21T11:51:09Z,2017-07-21T12:02:24Z,Faraday 0.12.2,"* Parse headers from aggregated proxy requests/responses (#681)
* Guard against invalid middleware configuration with warning (#685)
* Do not use :insecure option by default in Patron (#691)
* Fixes an issue with HTTPClient not raising a `Faraday::ConnectionFailed` (#702)
* Fixes YAML serialization/deserialization for `Faraday::Utils::Headers` (#690)
* Fixes an issue with Options having a nil value (#694)
* Fixes an issue with Faraday.default_connection not using Faraday.default_connection_options (#698)
* Fixes an issue with Options.merge! and Faraday instrumentation middleware (#710)

",https://api.github.com/users/iMacTia,2527520,iMacTia,https://api.github.com/repos/lostisland/faraday/releases/7122387/assets,https://api.github.com/repos/lostisland/faraday/releases/7122387,master,https://api.github.com/repos/lostisland/faraday/tarball/v0.12.2,https://github.com/lostisland/faraday/releases/tag/v0.12.2,https://api.github.com/repos/lostisland/faraday/zipball/v0.12.2,v0.12.2,False,False
6150851,2017-04-21T09:11:47Z,2017-04-21T16:06:42Z,Faraday 0.12.1,"* Fix an issue with Patron tests failing on jruby
* Fix an issue with new `rewind_files` feature that was causing an exception when the body was not an Hash
* Expose wrapped_exception in all client errors
* Add Authentication Section to the ReadMe",https://api.github.com/users/iMacTia,2527520,iMacTia,https://api.github.com/repos/lostisland/faraday/releases/6150851/assets,https://api.github.com/repos/lostisland/faraday/releases/6150851,master,https://api.github.com/repos/lostisland/faraday/tarball/v0.12.1,https://github.com/lostisland/faraday/releases/tag/v0.12.1,https://api.github.com/repos/lostisland/faraday/zipball/v0.12.1,v0.12.1,False,False
5948359,2017-04-02T09:18:33Z,2017-04-02T09:20:25Z,Faraday 0.12.0.1,* Hotfix release to address an issue with TravisCI deploy on Rubygems,https://api.github.com/users/iMacTia,2527520,iMacTia,https://api.github.com/repos/lostisland/faraday/releases/5948359/assets,https://api.github.com/repos/lostisland/faraday/releases/5948359,master,https://api.github.com/repos/lostisland/faraday/tarball/v0.12.0.1,https://github.com/lostisland/faraday/releases/tag/v0.12.0.1,https://api.github.com/repos/lostisland/faraday/zipball/v0.12.0.1,v0.12.0.1,False,False
5945146,2017-03-21T10:51:02Z,2017-04-01T12:08:26Z,Faraday 0.12.0,"* Proxy feature now relies on Ruby `URI::Generic#find_proxy` and can use `no_proxy` ENV variable (not compatible with ruby < 2.0)
* Fix an issue with options that was causing new options to override defaults ones unexpectedly
* Rewind `UploadIO`s on retry to fix a compatibility issue
* Make multipart boundary unique
* Adds support for `context` request option to pass arbitrary information to middlewares
* Improvements in `README.md`",https://api.github.com/users/iMacTia,2527520,iMacTia,https://api.github.com/repos/lostisland/faraday/releases/5945146/assets,https://api.github.com/repos/lostisland/faraday/releases/5945146,master,https://api.github.com/repos/lostisland/faraday/tarball/v0.12.0,https://github.com/lostisland/faraday/releases/tag/v0.12.0,https://api.github.com/repos/lostisland/faraday/zipball/v0.12.0,v0.12.0,False,False
5153275,2017-01-13T14:45:25Z,2017-01-13T15:08:20Z,Faraday 0.11.0,"- Fix an issue that was allowing to override `default_connection_options` from a connection instance
- Fix a bug that was causing newline escape characters (""\n"") to be used when building the Authorization header
- Add `filter` method to Logger middleware
- Add support for Ruby2.4 and Minitest 6
- Introduce block syntax to customise the adapter
",https://api.github.com/users/iMacTia,2527520,iMacTia,https://api.github.com/repos/lostisland/faraday/releases/5153275/assets,https://api.github.com/repos/lostisland/faraday/releases/5153275,master,https://api.github.com/repos/lostisland/faraday/tarball/v0.11.0,https://github.com/lostisland/faraday/releases/tag/v0.11.0,https://api.github.com/repos/lostisland/faraday/zipball/v0.11.0,v0.11.0,False,False
5032991,2016-12-29T15:22:43Z,2016-12-30T19:36:41Z,Faraday 0.10.1,"- Fix an issue with HTTPClient adapter that was causing the SSL to be reset on every request
- Rescue `IOError` instead of specific subclass
- `Faraday::Utils::Headers` can now be successfully serialised in YAML
- Handle `default_connection_options` set with hash
",https://api.github.com/users/iMacTia,2527520,iMacTia,https://api.github.com/repos/lostisland/faraday/releases/5032991/assets,https://api.github.com/repos/lostisland/faraday/releases/5032991,master,https://api.github.com/repos/lostisland/faraday/tarball/v0.10.1,https://github.com/lostisland/faraday/releases/tag/v0.10.1,https://api.github.com/repos/lostisland/faraday/zipball/v0.10.1,v0.10.1,False,False
4613623,2016-11-11T10:52:50Z,2016-11-11T11:27:39Z,Faraday 0.10.0,"Breaking changes:
- Drop support for Ruby 1.8

Features:
- Include wrapped exception/reponse in ClientErrors
- Add `response.reason_phrase`
- Provide option to selectively skip logging request/response headers
- Add regex support for pattern matching in `test` adapter

Fixes:
- Add `Faraday.respond_to?` to find methods managed by `method_missing`
- em-http: `request.host` instead of `connection.host` should be taken for SSL validations
- Allow `default_connection_options` to be merged when options are passed as url parameter
- Improve splitting key-value pairs in raw HTTP headers
",https://api.github.com/users/iMacTia,2527520,iMacTia,https://api.github.com/repos/lostisland/faraday/releases/4613623/assets,https://api.github.com/repos/lostisland/faraday/releases/4613623,master,https://api.github.com/repos/lostisland/faraday/tarball/v0.10.0,https://github.com/lostisland/faraday/releases/tag/v0.10.0,https://api.github.com/repos/lostisland/faraday/zipball/v0.10.0,v0.10.0,False,False
1924698,2015-10-07T15:06:17Z,2015-10-07T15:07:57Z,Faraday 0.8.11,"- Fix Faraday::Utils::Headers with regards to replacing and duping the internal key cache
- Make excon adapter compatible with 0.44 excon version
- Make sure the post request body doesn't get lost when retrying.
- Copy request options in Faraday::Connection#dup
- em-http: wrap ""connection closed by server"" as ConnectionFailed type
",https://api.github.com/users/mislav,887,mislav,https://api.github.com/repos/lostisland/faraday/releases/1924698/assets,https://api.github.com/repos/lostisland/faraday/releases/1924698,master,https://api.github.com/repos/lostisland/faraday/tarball/v0.8.11,https://github.com/lostisland/faraday/releases/tag/v0.8.11,https://api.github.com/repos/lostisland/faraday/zipball/v0.8.11,v0.8.11,False,False
